aonly_AA	aonly_DA	
1703.4	491.1
1238.4	404.1
1069.4	358.11
736.34	90.11
625.33	116.11
430.32	107.12
374.3	93.123
264.29	103.13
233.28	79.132
171.27	75.136
319.75	239.97
345.74	196.97
406.72	171.98
461.71	166.98
561.7	164.99
625.69	228.99
786.68	276
942.66	341
1213.7	430
1352.6	438.01
1717.6	633.01
2018.6	806.02
2384.6	885.02
2683.6	1007
3171.6	1207
3611.6	1342
4073.6	1373
4379.5	1475
4721.5	1582
5122.5	1693.1
5299.5	1752.1
5274.5	1775.1
5250.5	1857.1
5062.5	1740.1
4881.5	1665.1
4798.4	1606.1
4094.4	1441.1
3884.4	1310.1
3092.4	1136.1
2898.4	934.1
2171.4	763.1
1907.4	546.11
1380.4	420.11
1190.4	393.11
816.34	247.12
694.33	194.12
476.32	193.13
418.3	195.13
292.29	101.14
253.28	77.14
187.27	62.145
344.75	161.98
379.74	186.98
454.72	193.99
508.71	162.99
625.7	141.99
687.69	277
875.68	358
1047.7	419.01
1335.7	407.01
1518.6	408.02
1918.6	588.02
2249.6	809.03
2687.6	830.03
2994.6	1024
3558.6	1309
4019.6	1463
4572.6	1514
4898.5	1699.1
5336.5	1827.1
5706.5	1941.1
5944.5	2002.1
5933.5	2024.1
5921.5	2109.1
5674.5	2049.1
5498.5	1850.1
5371.4	1753.1
4623.4	1623.1
4368.4	1500.1
3502.4	1320.1
3250.4	978.1
2445.4	939.11
2152.4	713.11
1556.4	464.12
1342.4	420.12
927.34	415.13
771.33	286.13
532.32	264.14
462.3	215.14
329.29	105.14
281.28	83.148
204.27	80.153
373.75	103.99
412.74	135.99
498.72	191.99
552.71	175
683.7	140
749.69	308.01
958.68	385.01
1142.7	470.02
1472.7	430.02
1674.6	481.02
2109.6	677.03
2462.6	843.03
2969.6	852.04
3289.6	996.04
3916.6	1296
4415.6	1564.1
5053.6	1726.1
5409.5	1914.1
5931.5	2018.1
6269.5	2157.1
6529.5	2276.1
6547.5	2273.1
6566.5	2270.1
6438.5	2257.1
6087.5	1968.1
5934.4	1862.1
5132.4	1745.1
4864.4	1552.1
3894.4	1351.1
3597.4	1125.1
2711.4	879.12
2384.4	824.12
1722.4	530.13
1472.4	449.13
1025.3	374.13
853.33	252.14
587.32	217.14
503.3	147.15
359.29	134.15
309.28	100.16
224.27	113.16
404.75	83.993
437.74	52.998
525.72	82.002
589.71	167.01
727.7	174.01
802.69	339.02
1025.7	379.02
1215.7	421.02
1593.7	397.03
1784.6	636.03
2261.6	738.04
2625.6	965.04
3163.6	1049
3525.6	1131.1
4186.6	1287.1
4734.6	1458.1
5415.6	1859.1
5808.5	2003.1
6373.5	2042.1
6732.5	2266.1
6996.5	2288.1
7022.5	2322.1
7049.5	2361.1
7019.5	2213.1
6544.5	2067.1
6378.4	1907.1
5530.4	1756.1
5231.4	1469.1
4186.4	1396.1
3868.4	1208.1
2921.4	896.12
2556.4	784.13
1840.4	486.13
1566.4	352.14
1090.3	232.14
922.33	183.15
632.32	138.15
539.3	137.16
378.29	151.16
329.28	127.16
244.27	105.17
414.75	134
451.74	129.01
547.72	247.01
617.71	258.01
753.7	250.02
836.69	294.02
1071.7	314.03
1260.7	336.03
1648.7	521.04
1859.6	677.04
2360.6	772.05
2742.6	919.05
3296.6	1166.1
3664.6	1326.1
4378.6	1566.1
4896.6	1578.1
5622.6	1810.1
6046.5	1999.1
6629.5	2036.1
7016.5	2352.1
7348.5	2384.1
7358.5	2504.1
7369.5	2418.1
7090.5	2283.1
6825.5	2075.1
6634.4	1875.1
5788.4	1690.1
5403.4	1453.1
4378.4	1321.1
4002.4	1210.1
3048.4	997.13
2661.4	862.14
1908.4	578.14
1643.4	507.15
1141.3	298.15
958.33	248.15
664.32	163.16
561.3	155.16
393.29	164.17
338.28	149.17
253.27	114.18
424.75	171.01
472.74	181.01
567.72	300.02
631.71	302.02
784.7	300.03
865.69	284.03
1104.7	382.04
1312.7	477.04
1707.7	596.04
1942.6	609.05
2448.6	740.05
2840.6	1051.1
3407.6	1154.1
3812.6	1375.1
4559.6	1585.1
5083.6	1708.1
5834.6	1866.1
6281.5	1914.1
6888.5	2111.1
7272.5	2281.1
7581.5	2471.1
7607.5	2487.1
7631.5	2434.1
7551.5	2407.1
7080.5	2326.1
6921.4	2005.1
6014.4	1727.1
5656.4	1586.1
4558.4	1280.1
4118.4	1160.1
3164.4	995.14
2768.4	926.15
1983.4	798.15
1689.4	540.15
1186.3	331.16
996.33	283.16
689.32	215.17
585.3	188.17
406.29	157.18
350.28	180.18
265.27	191.18
440.75	173.02
485.74	176.02
578.72	230.03
659.71	252.03
803.7	257.04
901.69	283.04
1143.7	387.04
1350.7	507.05
1783.7	554.05
2005.6	641.06
2536.6	766.06
2923.6	1117.1
3530.6	1215.1
3968.6	1367.1
4694.6	1512.1
5250.6	1723.1
6060.6	1867.1
6456.5	2002.1
7134.5	2404.1
7500.5	2339.1
7803.5	2459.1
7851.5	2565.1
7900.5	2527.1
7927.5	2496.1
7330.5	2490.1
6988.4	2199.1
6194.4	1866.1
5837.4	1762.1
4729.4	1408.1
4241.4	1161.1
3264.4	1040.1
2879.4	916.15
2072.4	760.16
1750.4	433.16
1229.3	273.17
1025.3	264.17
706.32	253.18
602.3	166.18
433.29	95.184
370.28	138.19
276.27	186.19
449.75	163.03
497.74	178.03
584.72	224.03
678.71	218.04
817.7	214.04
927.69	275.05
1177.7	303.05
1385.7	365.06
1827.7	532.06
2040.6	746.07
2602.6	879.07
2996.6	984.07
3627.6	1345.1
4069.6	1413.1
4798.6	1609.1
5369.6	1711.1
6199.6	1842.1
6581.5	2184.1
7292.5	2596.1
7657.5	2539.1
7998.5	2445.1
8056.5	2755.1
8112.5	2640.1
8106.5	2524.1
7496.5	2342.1
7090.4	2229.1
6325.4	1984.1
5973.4	1794.1
4840.4	1548.1
4355.4	1250.2
3329.4	1166.2
2935.4	905.16
2130.4	588.17
1797.4	416.17
1257.3	256.17
1042.3	259.18
719.32	277.18
617.3	171.19
452.29	32.192
380.28	71.197
285.27	108.2
451.75	138.03
508.74	189.04
595.72	245.04
678.71	254.05
833.7	263.05
936.69	310.06
1196.7	396.06
1412.7	491.06
1831.7	595.07
2071.6	671.07
2637.6	942.08
3044.6	966.08
3681.6	1271.1
4112.6	1380.1
4887.6	1629.1
5444.6	1782.1
6244.6	2095.1
6691.5	2116.1
7381.5	2328.1
7741.5	2515.1
8115.5	2558.1
8162.5	2590.1
8213.5	2587.1
8134.5	2555.1
7576.5	2251.1
7327.4	2146.1
6425.4	2063.1
6086.4	1725.2
4886.4	1476.2
4420.4	1346.2
3372.4	1137.2
2949.4	957.17
2152.4	743.17
1806.4	511.18
1267.3	340.18
1056.3	270.19
736.32	306.19
632.3	331.2
452.29	36.2
378.28	93.205
289.27	144.21
461.75	191.04
504.74	186.05
610.72	185.05
687.71	257.05
839.7	253.06
943.69	259.06
1205.7	325.07
1403.7	396.07
1845.7	530.08
2101.6	727.08
2651.6	813.09
3044.6	1045.1
3725.6	1263.1
4155.6	1448.1
4918.6	1542.1
5467.6	1656.1
6294.6	2020.1
6765.5	2193.1
7459.5	2407.1
7770.5	2525.1
8138.5	2551.1
8190.5	2536.1
8242.5	2553.1
7953.5	2553.1
7634.5	2414.1
7366.4	2368.2
6478.4	1942.2
6080.4	1725.2
4904.4	1627.2
4421.4	1354.2
3405.4	1044.2
2984.4	867.18
2180.4	572.18
1809.4	495.19
1268.3	455.19
1066.3	414.2
746.32	370.2
638.3	335.2
452.29	149.21
384.28	74.213
285.27	108.22
456.75	193.05
511.74	199.05
613.72	172.06
695.71	213.06
852.7	245.07
951.69	268.07
1217.7	359.08
1406.7	458.08
1877.7	526.08
2117.6	678.09
2659.6	734.09
3066.6	1070.1
3742.6	1192.1
4164.6	1406.1
4940.6	1510.1
5489.6	1793.1
6355.6	1976.1
6811.5	2111.1
7496.5	2410.1
7836.5	2538.1
8177.5	2562.1
8213.5	2607.1
8249.5	2560.1
7906.5	2559.2
7693.5	2605.2
7411.4	2495.2
6518.4	2062.2
6112.4	1936.2
4959.4	1500.2
4419.4	1228.2
3436.4	1020.2
3023.4	843.19
2199.4	548.19
1823.4	511.19
1295.3	394.2
1064.3	415.2
753.32	350.21
641.3	275.21
460.29	238.22
396.28	127.22
294.27	135.23
460.75	160.06
514.74	195.06
609.72	216.07
700.71	213.07
