donly_DD	donly_DA	
810.35	104.43
1501.6	178.26
1674.6	151.26
2051.7	134.27
2216.8	235.27
2749.9	281.28
3124.9	351.28
3883	425.29
4323.1	592.29
5562.1	621.3
6278.2	856.3
8298.3	1023.3
9190.3	1159.3
11365	1406.3
12741	1717.3
15198	1872.3
16578	2210.3
18871	2255.3
20712	2580.3
22440	2635.3
23552	2881.3
24311	2970.3
24035	2988.4
23775	3011.4
23017	2895.4
21703	2717.4
20450	2621.4
18631	2329.4
18141	2258.4
13541	1593.4
13159	1549.4
9049.6	1012.4
8730.7	955.4
5816.8	668.4
5302.8	513.4
3442.9	375.41
3063	310.41
2033	294.42
1928.1	241.42
1282.2	201.43
1091.3	188.43
874.32	86.436
1658.5	217.27
1800.6	211.27
2191.7	195.28
2468.8	350.28
2967.8	358.29
3379.9	424.29
4294	492.29
4752	652.3
6177.1	785.3
6848.2	896.31
8949.2	979.31
9973.3	1187.3
12478	1526.3
13686	1702.3
16587	1907.3
17950	2278.3
20958	2498.3
22358	2817.3
24284	2967.3
25675	3041.4
26634	3120.4
26500	3162.4
26385	3200.4
26333	3157.4
24258	2897.4
23931	2758.4
20566	2372.4
19440	2085.4
15175	1833.4
14597	1779.4
10044	1182.4
9312.7	1104.4
6293.7	636.41
5727.8	584.41
3767.9	530.42
3425.9	377.42
2167	359.43
2044.1	328.43
1426.2	226.43
1354.2	214.44
999.29	116.44
1880.5	187.28
1898.6	305.28
2335.7	264.29
2530.7	253.29
3126.8	410.29
3575.9	497.3
4472.9	561.3
5000	614.31
6608.1	908.31
7322.1	923.32
9549.2	1144.3
10552	1467.3
13338	1580.3
14427	1943.3
17890	2002.3
19082	2490.3
22493	2831.3
23552	3020.4
26176	3250.4
27424	3425.4
28492	3469.4
28405	3527.4
28334	3498.4
27256	3301.4
26054	3075.4
25796	2939.4
21742	2761.4
20890	2602.4
16078	1998.4
15498	1718.4
10742	1349.4
10094	1286.4
6852.7	865.42
6140.8	769.42
3946.8	607.43
3488.9	474.43
2330	287.43
2226.1	236.44
1573.1	158.44
1433.2	102.45
1073.3	58.452
2000.5	258.28
2000.6	326.29
2472.6	282.29
2644.7	222.3
3417.8	418.3
3812.8	503.31
4776.9	514.31
5438	719.32
6952	844.32
7767.1	1065.3
10404	1207.3
11340	1504.3
14336	1778.3
15402	2081.3
19323	2255.3
20443	2614.4
24113	2784.4
25102	3099.4
28090	3515.4
29057	3741.4
30433	3831.4
30554	3797.4
30681	3720.4
29853	3486.4
28024	3283.4
27667	3139.4
23629	3024.4
22591	2723.4
17483	2163.4
16406	1975.4
11681	1499.4
10799	1392.4
7333.7	925.42
6581.7	669.43
4286.8	464.43
3747.9	435.44
2667	352.44
2371	214.45
1623.1	208.45
1506.2	200.46
1084.2	44.46
1947.5	317.29
2084.5	304.3
2533.6	287.3
2852.7	280.31
3611.7	404.31
3955.8	443.31
5156.9	456.32
5589.9	629.32
7353	852.33
8136.1	1116.3
11005	1315.3
11933	1549.3
15105	1929.3
16344	2060.3
20290	2406.4
21470	2703.4
25307	3005.4
26399	3212.4
29655	3617.4
30538	3887.4
32236	4048.4
32311	3955.4
32526	3881.4
32363	3648.4
29778	3432.4
28901	3255.4
25297	3085.4
23870	2717.4
18618	2235.4
17403	2193.4
12588	1539.4
11228	1348.4
7802.7	963.43
6934.7	742.44
4565.8	402.44
4022.9	367.45
2759.9	343.45
2429	249.45
1744.1	265.46
1567.1	264.46
1128.2	60.468
1945.4	299.3
2116.5	297.3
2640.6	301.31
